Year,major,score
2017,软件工程（专业学位）,325
2017,电子与通信工程,325
2017,软件工程（专业学位）,325
2017,项目管理,325
2017,信息与通信工程,325
2017,电子与通信工程,325
2017,计算机科学与技术,325
2017,软件工程（学术型）,-
2017,电子科学与技术,325
2017,电气工程（专业学位）,325
2017,仪器仪表工程,325
2017,电子科学与技术,325
2017,电子与通信工程,325
2017,控制科学与工程,325
2017,电子科学与技术,325
2017,电子科学与技术,325
2017,计算机科学与技术,-
2017,电气工程（学术型）,325
2017,网络空间安全,325
2017,核能与核技术工程,325
2017,工业工程,325
2017,机械工程（专业学位）,325
2017,动力工程及工程热物理,325
2017,工程管理硕士,180
2017,仪器科学与技术,-
2017,车辆工程,325
2017,动力工程,325
2017,动力工程及工程热物理,325
2017,生物学,-
2017,机械工程（学术型）,325
2017,核科学与技术,325
2017,机械工程（学术型）,325
2017,力学,-
2017,船舶与海洋工程（专业学位）,-
2017, 控制工程（专业学位）,290
2017,物流工程,325
2017,交通运输工程(专业学位),325
2017,力学,325
2017,船舶与海洋工程（专业学位）,325
2017,土木工程,325
2017,船舶与海洋工程（学术型）,-
2017,交通运输工程（学术型）,325
2017,船舶与海洋工程（学术型）,325
2017,集成电路工程（专业学位）,290
2017,建筑与土木工程,325
2017,项目管理,325
2017,控制工程（专业学位）,290
2017, 集成电路工程（专业学位）,290
2017,建筑学,325
2017,微电子学与固体电子学,290
2017,电子与通信工程（专业学位）,290
2017,管理科学与工程 ,330
2017,光学工程,290
2017, 光学工程（专业学位）,290
2017,电路与系统,290
2017,信息与通信工程,290
2017,光学工程（专业学位）,290
2017,物流工程 ,330
2017,材料工程（专业学位）,290
2017,模式识别与智能系统,290
2017,电子与通信工程（专业学位）,290
2017,材料工程（专业学位）,290
2017,水利工程（专业学位）,290
2017, 动力工程（专业学位）,290
2017,生物医学工程（专业学位）,290
2017, 材料科学与工程,290
2017,生物医学工程,290
2017,力学,290
2017,车辆工程 ,330
2017,药学,320
2017,02 农业昆虫与害虫防治,300
2017,工程热物理,290
2017, 交通运输工程,290
2017,水利工程,290
2017,机械工程 ,330
2017,机械工程,330
2017,动力工程及工程热物理 ,330
2017,环境工程 ,330
2017,海洋科学,300
2017,生物学,300
2017,航空宇航科学与技术 ,330
2017,动力工程 ,330
2017,土木工程,330
2017,检测技术与自动化装置,290
2017,物理学,300
2017,仪器仪表工程 ,330
2017,动力工程及工程热物理 ,330
